row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,10Y_point1mg.mzML Peak area,1N_point1mg.mzML Peak area,3N_point1mg.mzML Peak area,4135_1_80.mzML Peak area,4135_2_80.mzML Peak area,4135_3_80.mzML Peak area,4135_4_80.mzML Peak area,4136_1_80.mzML Peak area,4136_2_80.mzML Peak area,4136_3_80.mzML Peak area,4136_4_80.mzML Peak area,4138_1_80.mzML Peak area,4138_2_80.mzML Peak area,4138_3_80.mzML Peak area,4138_4_80.mzML Peak area,4N_point1mg.mzML Peak area,5050_1_80.mzML Peak area,5050_2_80.mzML Peak area,5050_3_80.mzML Peak area,5050_4_80.mzML Peak area,5051_1_80.mzML Peak area,5051_2_80.mzML Peak area,5051_3_80.mzML Peak area,5051_4_80.mzML Peak area,5N_point1mg.mzML Peak area,6Y_point1mg.mzML Peak area,7Y_point1mg.mzML Peak area,80MeOH_blk1.mzML Peak area,80MeOH_blk_6.mzML Peak area,80_MeOH_blk24.mzML Peak area,80_MeOH_blk3.mzML Peak area,80_MeOH_blk5.mzML Peak area,80_MeOH_blk_10.mzML Peak area,80_MeOH_blk_10_20251016022945.mzML Peak area,80_MeOH_blk_11.mzML Peak area,80_MeOH_blk_12.mzML Peak area,80_MeOH_blk_13.mzML Peak area,80_MeOH_blk_20.mzML Peak area,80_MeOH_blk_21.mzML Peak area,80_MeOH_blk_22.mzML Peak area,80_MeOH_blk_23.mzML Peak area,80_MeOH_blk_4.mzML Peak area,80_MeOH_blk_7.mzML Peak area,80_MeOH_blk_8.mzML Peak area,80_MeOH_blk_9.mzML Peak area,80_MeOHblk_2.mzML Peak area,8Y_point1mg.mzML Peak area,9Y_point1mg.mzML Peak area,Ext_blank_1_1_80.mzML Peak area,Ext_blank_1_2_80.mzML Peak area,Ext_blank_2_1_80.mzML Peak area,Ext_blank_2_2_80.mzML Peak area,mxaF_1_80.mzML Peak area,mxaF_2_80.mzML Peak area,mxaF_3_80.mzML Peak area,mxaF_4_80.mzML Peak area,
33,305.899290783064,0.3609442,,,,24,,,,,,,578.2174,346.6966,223.48483,816.4815,429.2877,540.13007,2490.628,582.2293,612.56647,511.52103,942.3306,568.5392,276.92227,516.63983,2047.293,262.24692,832.8582,1609.6614,317.9097,685.3272,511.72537,1694.2474,271.00952,853.6256,774.5474,474.15924,360.99252,16113.651,447.8883,676.07715,302.04166,890.65247,1849.2028,2702.2869,903.07166,593.2466,678.757,184040.48,599.6375,439.93835,586.40436,904.65015,2408.2612,733.81287,568.5302,8528.301,963.665,698.5237,2282.8726,1778.439,461.7654,123.12295,890.8266,431.56213,331.25183,554.08105,
34,231.89926944063234,0.3610156,,,,24,,,,,,,536.1714,1270.4547,1548.9081,595.7034,1009.78345,301.5805,1380.228,1291.6011,1021.0703,1086.5438,334.29355,1358.3267,1229.2987,1287.4152,1232.9207,1016.0748,663.86804,1918.9529,1126.4562,992.77905,895.61804,1863.9114,208.51488,784.0491,518.93866,1171.7449,1308.4077,0,520.5308,1159.3302,1264.0377,977.34894,2119.6667,2231.1345,1164.4482,876.5432,846.7743,78637.58,1864.3595,784.4426,1223.6064,1191.0565,1156.852,688.0636,816.655,4766.064,497.84857,1325.4783,2344.4146,1331.2148,1357.2681,1561.5846,1165.3345,857.9668,1879.3362,1025.2661,
85,264.87283389082387,0.3621361,,,,24,,,,,,,5872.6904,4562.7803,4140.997,5132.486,3352.3994,5016.374,7993.1206,5258.661,4646.438,3868.366,4098.217,4759.2007,4320.2827,4612.3794,11730.402,4884.5063,4975.735,4318.679,4591.65,1614.4641,5701.9927,9488.258,4988.428,4928.1616,4489.692,5536.6367,5755.8555,32789.562,5890.158,7842.7065,5515.5312,5435.699,10435.048,8468.662,3232.3027,5653.668,10072.698,1835761.5,4367.17,4820.872,5446.2397,5308.462,12475.092,5095.068,5896.928,38064.758,5043.9414,5583.6416,11620.996,11240.27,5272.401,3493.2998,5113.731,3847.7886,5641.5576,4909.9824,
32,287.88880585660866,0.36286494,,,,24,,,,,,,470.92892,383.83273,387.4488,293.28067,143.33894,513.14795,1975.2546,252.02425,286.8896,66.92375,643.56366,481.3486,249.70517,343.2165,1765.5952,445.62036,224.17493,1324.4789,287.0936,381.98724,324.42746,202.62933,283.58743,197.51697,387.5832,136.77237,407.08664,0,188.76506,111.66199,104.97324,213.6633,1574.4165,1831.3582,428.46317,337.4151,226.93375,529117.2,365.2259,330.27356,548.3504,321.49353,2177.255,254.21346,494.98856,12010.52,292.878,859.70557,2227.9634,1555.1316,238.45847,102.54188,348.883,553.52783,470.63022,602.7557,
52,277.904425543496,0.3631423,,,,24,4,[M+NH4]+,,2,124;52,259.87027,101.49057,0,32.489136,438.05478,244.48859,238.46658,1211.5864,129.0229,219.51547,185.8079,287.31177,233.551,370.27704,137.97073,855.87604,103.915924,337.33432,579.51996,117.644295,315.93277,230.63388,631.1346,211.44379,979.4032,187.1308,250.45232,188.63158,6234.6045,529.6732,159.49068,408.03766,412.54926,888.45276,943.5862,271.83008,394.64407,137.72162,89552.85,292.7306,170.5505,213.26675,328.04346,1016.4954,368.97086,127.94314,2857.0361,93.54468,223.85065,1036.0277,1191.5641,372.5257,293.2034,391.79443,548.01807,200.59612,223.90831,
94,462.26718716314565,0.364047,,,,24,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50486.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1219.826,0,0,192.02649,37.471222,327.57428,0,0,0,0,0,
15,236.8779279686224,0.3641882,,,,24,2,[M+Na]+,,2,15;199,213.88907,999.33887,1814.3033,907.9085,841.70526,1119.3057,1010.98157,1577.4386,1080.6844,1179.3516,1096.3143,1130.599,1331.9115,935.0104,867.0131,1321.454,954.85657,917.5645,1290.4507,768.3502,907.009,1102.1727,1503.5953,1007.7134,986.4769,1705.3057,834.69037,539.5221,264.59225,926.73224,1064.9412,1078.5559,1061.7714,1791.4319,1289.8844,1316.652,1021.5834,1442.5103,393448.03,964.2812,1259.8641,1074.9075,1253.8247,1462.3477,330.37173,1098.7374,6711.3125,565.85986,1164.7454,2482.3662,2406.6113,1106.0199,1593.3606,692.25507,832.3299,1015.1872,1056.4727,
217,246.86220225001549,0.3643699,,,,24,6,[M+H]+,,2,234;217,245.85535,2076.917,1388.1511,1414.8462,219.40186,517.2867,783.8337,2817.9988,537.99695,1484.7747,687.3608,1279.6874,1062.9255,1200.113,1017.2871,2853.213,1117.001,941.7024,1499.738,2406.4456,752.6061,954.5221,2044.3104,676.4814,2475.8232,1468.328,1243.1371,2182.475,0,752.9021,1254.133,1323.6503,1822.9406,2196.396,2404.7185,438.00723,1022.4773,1636.7026,2000738.4,1396.954,1655.7423,1516.482,499.081,3693.6387,549.783,609.30554,17349.38,1334.0862,2179.2463,3455.4622,1473.7383,343.50595,254.70334,492.11273,1332.3107,1550.1016,1681.1045,
7,259.8943199826169,0.36557078,,,,24,,,,,,,1314.7695,4070.6008,1684.3477,1433.8458,988.63257,1086.0507,1330.0018,1236.5475,1199.3992,1466.815,1255.9861,1557.3821,892.15765,1352.3643,1502.2526,1638.3395,549.02124,976.209,1032.2504,848.46075,783.6686,998.9927,1034.3229,1075.9813,1361.8434,674.40015,964.07574,9581.783,1052.05,1186.4894,1285.6929,961.9466,1224.2078,1366.9711,1004.82104,1129.3745,1008.7412,213200.73,3152.2886,2256.4385,1235.1726,1458.0632,1068.6526,432.05066,1188.0963,5780.2646,822.9535,1116.9602,1692.6381,1497.5454,1252.3368,1311.7491,750.8965,1077.6074,1096.5215,1118.9435,
156,221.98484482027553,0.36704597,,,,24,,,,,,,9161.312,9118.089,7920.7456,1242.5049,1373.5186,1978.5536,2589.4314,1480.0814,235.40668,1040.334,1657.5607,653.1857,820.63916,1149.2916,323.80826,7977.7563,2669.046,1734.955,1767.1038,3511.6946,2284.5764,2646.639,2346.174,2113.9001,9229.0625,8647.908,9239.767,2747.0947,1583.7649,8058.8975,668.969,820.6361,1552.2748,2508.9365,2009.7539,1990.675,3584.7964,86161.82,7909.823,8875.869,8022.114,1571.6329,2188.7349,1531.4956,944.1052,824.28143,9423.358,8952.8545,494.09943,760.9376,402.19244,309.03903,1627.7616,1653.773,3233.7444,2203.8518,
96,241.883707567621,0.3719274,,,,24,,,,,,,1062.2704,1165.288,1416.6912,815.55225,260.75293,686.2962,743.8026,188.34995,922.1825,761.142,936.6393,618.7131,484.97852,1112.8633,621.71564,1488.559,514.40936,493.4391,1042.878,650.9364,526.24304,613.1426,537.5241,1196.4614,1696.5725,1318.7932,1041.6545,34802.734,609.8524,508.97247,815.10077,1015.21875,687.1874,1467.7104,684.18054,697.71686,715.99994,34036.984,2539.2134,1304.6481,1146.0665,393.52698,621.7713,896.6742,1032.1011,1779.398,530.66846,1261.5898,1667.2122,419.67957,634.95264,1136.6274,397.46613,560.7827,556.44116,461.8068,
231,262.87756153094335,0.37222537,,,,24,17,[M+H]+,,2,231;350,261.87045,437.90997,70.55273,171.97406,317.8375,168.36351,299.2092,937.05,315.08914,173.6532,261.34027,276.77682,293.26123,211.56967,131.28893,812.5259,338.93863,374.52856,646.44794,54.928764,177.28552,368.48294,563.5328,319.85034,319.08548,216.79663,420.7986,180.70073,5453.419,215.78351,120.766815,352.92218,91.12062,662.694,676.6531,250.99863,227.25285,416.1757,230566.67,373.9058,333.89203,209.63696,412.80725,634.61554,163.36864,349.0114,4007.7703,320.94302,368.55847,1189.03,775.0238,229.29045,318.36838,226.54538,500.91394,238.90732,460.77774,
263,352.7974561228564,0.37238795,,,,24,0,[2M+H]+,,2,263;27,175.89566,61.126144,0,0,25.800533,24.582642,99.48151,69.67984,51.870316,36.326454,58.051094,52.73243,165.03694,60.002037,18.19085,49.082294,0,59.57021,42.389378,54.66294,42.800232,74.16439,0,35.28578,45.345276,0,0,0,321.5598,27.009495,0,233.29959,87.604095,70.40582,19.947556,126.00732,35.060963,0,62326.855,0,0,0,69.23057,115.56352,24.837059,41.30053,172.4777,0,0,137.15002,45.476257,112.39988,209.60431,20.234407,71.37553,77.25287,79.199394,
269,408.78717666955765,0.37371302,,,,24,8,[2M+H]+,,2,220;269,203.89066,446.6363,127.752304,361.584,848.13434,285.47113,646.1307,809.87103,364.29883,906.6494,698.9769,709.8354,1124.018,132.95062,806.1814,185.70508,142.20352,349.83853,602.1374,273.12445,422.17526,614.9833,415.38583,630.1544,438.86115,103.854614,94.773056,247.10577,660.6891,963.3735,412.12326,738.40936,891.7387,367.50745,605.7141,326.64154,586.2488,170.48444,22321.363,131.9803,297.65543,129.69525,784.12634,187.40004,483.36383,392.02646,963.1254,176.77647,183.56924,1313.0994,1050.8091,821.0182,577.6195,305.51672,257.51273,672.3058,410.8959,
201,217.86006244440688,0.37761423,,,,24,9,[M-H+2Na]+,,2,201;142,172.88918,23.933353,0,0,88.21465,66.41118,29.389046,0,0,99.49272,0,52.602608,116.48078,25.834736,22.37812,38.493477,54.900185,30.277424,25.322342,21.375946,37.421413,39.71382,46.782696,39.729668,0,0,0,0,0,31.40827,0,105.41449,34.919975,0,44.51358,25.850512,43.21719,25.532085,8954.445,74.11174,0,0,37.30861,101.70609,21.26519,33.67984,76.36281,0,58.983826,79.64923,67.47817,0,34.405354,38.714718,71.57829,99.84445,77.12945,
268,406.7916957195119,0.37842762,,,,24,7,[2M+H]+,,2,268;218,202.89171,0,0,0,35.07694,0,0,0,0,0,0,0,19.849373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.277515,0,0,0,0,0,0,0,0,5124.0986,0,0,0,75.95993,0,0,0,93.869255,0,0,70.63571,34.6163,0,24.016727,0,0,0,0,
67,365.8280853521336,0.37916663,,,,24,5,[M+K]+,,2,139;67,326.86502,132.63556,244.35825,173.3501,259.6454,434.357,787.15656,1083.0496,1295.9305,573.19946,821.8418,95.20259,469.27335,322.56473,341.07077,728.292,53.180023,275.48715,384.72192,422.7961,320.6717,434.3462,410.1734,485.86804,314.75812,54.570686,107.782486,156.24446,722.46716,422.04523,23.254927,372.11676,433.66376,614.10803,329.56384,94.23494,434.01407,389.31775,14747.089,0,54.884636,53.654396,359.32513,761.7025,519.3311,470.55658,2313.0608,733.08026,218.22852,1127.8469,1014.92615,742.2608,811.57196,414.5152,1066.9331,393.6702,805.4469,
257,336.8025956938444,0.3807924,,,,24,,,,,,,129.32137,44.86365,94.01277,320.6857,324.91547,231.7855,171.05722,61.994587,230.92682,217.9184,117.84979,383.12228,211.73831,234.64754,448.91797,74.133545,133.83467,263.434,150.71309,183.68976,366.92358,245.13379,186.45244,260.3921,170.71643,336.62436,201.02942,1355.1924,308.33447,168.17451,182.46873,275.93457,266.41266,399.86874,185.59583,314.5059,147.25522,60932.055,256.45898,151.45808,330.03333,221.52287,388.309,244.77957,329.75528,314.09393,177.80702,224.80612,53.219044,274.14673,244.65822,253.86322,279.4105,242.937,277.28317,260.223,
199,214.8967118692723,0.38219187,,,,24,2,[M+H]+,,2,15;199,213.88907,0,0,0,0,0,0,0,0,0,0,0,40.52644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365.2154,0,0,0,0,0,0,0,51.86066,0,6472.356,0,33.362167,0,0,0,0,0,0,0,0,67.75058,0,0,0,44.19324,0,0,0,
178,172.8620046981381,0.38256234,,,,24,,,,,,,72.107574,0,65.978226,37.100533,62.34871,140.3849,138.16595,41.956337,126.514694,52.038654,49.33627,185.00522,69.183815,57.736702,24.92582,0,42.72398,115.287605,91.26431,46.437553,47.354576,121.75653,29.90516,119.9234,0,0,0,0,148.32239,71.229065,206.91924,398.47452,73.472755,35.201225,49.097107,35.70318,43.787277,146002.77,0,51.83969,55.088577,168.20518,112.4881,26.349253,21.141739,168.10832,22.013775,37.619385,82.25734,234.97305,63.195232,249.38179,73.59558,154.62378,124.51757,40.886368,
250,318.7920012066359,0.38288802,,,,24,,,,,,,143.92757,317.14862,265.85617,351.49387,264.74136,379.66196,92.98381,438.9943,344.83167,117.7663,411.11728,76.753586,210.51399,545.5577,344.4836,151.30943,357.3676,155.21907,116.06908,174.52536,508.62634,455.2529,258.32895,158.74026,345.54395,303.46844,84.3746,3384.8684,372.56366,251.89188,468.3727,501.78516,329.74548,296.59467,313.89944,565.2974,268.82086,254115.78,315.03784,195.29968,315.07553,619.08453,534.37427,294.9351,532.45483,539.29095,295.06726,452.90158,300.445,404.59103,415.0118,565.5252,484.64783,167.41379,523.8752,167.58597,
77,165.98298931973676,0.38316748,,,,24,,,,,,,6037.304,6052.5527,4342.1553,3757.0347,3499.6858,3005.5598,4030.9878,3909.4949,3474.192,4436.99,3355.8271,3536.6436,3125.2727,3386.0137,3214.475,5190.73,3573.1772,3515.9583,3817.8096,3921.1577,3718.874,2992.92,3220.5107,3056.0422,5795.3027,5472.8247,5648.7153,17453.316,4402.6807,4880.057,4760.211,3770.9429,3575.3452,3644.5037,4835.2715,4094.0054,4464.5713,42465.375,5801.384,5408.4385,5029.43,3582.8481,3816.5938,3139.3064,3873.2666,5082.763,4937.9355,5178.5894,5079.764,4763.4927,4522.5186,3810.0957,4068.3267,3429.5828,4204.269,3730.9172,
182,180.88814373934642,0.38410693,,,,24,,,,,,,340.0304,426.92657,737.1093,694.1997,1064.8091,422.33148,935.07153,822.3203,218.11087,132.15369,428.86548,933.68317,608.4257,1253.7943,1176.2849,565.4029,719.29504,890.3303,411.54865,495.30045,967.6445,639.6241,480.98132,916.99786,720.90125,536.9714,264.24353,0,1022.8843,531.2273,1211.3208,642.224,280.3599,238.60492,480.81625,533.053,882.4531,64126.773,581.17596,718.4346,501.1404,699.0316,828.7394,198.52095,1058.7438,1411.8528,463.5237,626.20355,1156.0474,735.4584,708.7412,309.51434,301.38123,456.62195,697.5879,251.41129,
136,338.80311835795163,0.38634312,,,,24,10,[M-H+2Na]+,,2,128;136,293.83137,35.9173,0,0,132.54555,39.825314,29.615965,30.685062,25.720245,41.533203,0,0,17.713907,26.905502,72.12888,44.590843,0,30.810303,0,0,24.818562,0,28.096485,0,53.47589,0,0,0,227.51576,37.442436,21.670486,0,103.23697,39.573402,88.13159,53.230194,31.686573,92.65642,18248.668,0,35.905296,0,47.012352,25.881382,210.32816,147.11697,136.85387,23.447462,0,88.87257,28.43922,0,0,65.96159,0,72.31566,0,
82,324.1764092920398,0.38655338,,,,18,,,,,,,284107.75,83716.82,33337.99,0,0,0,0,0,0,0,0,0,0,0,0,13626.173,0,0,0,0,0,0,0,0,50751.1,107443.266,110239.164,0,0,0,0,0,0,0,0,0,0,151.78227,0,0,0,0,0,0,0,0,59392.0,40382.676,0,0,0,0,0,0,0,0,
139,344.8989335988251,0.38718948,,,,24,5,[M+NH4]+,,2,139;67,326.86502,0,0,84.349976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.562756,0,80.19502,140.56055,0,29.194588,0,0,37.837925,0,0,0,0,6640.6255,0,38.37638,82.25317,0,0,0,0,0,0,70.06634,0,0,0,0,0,0,0,0,
79,485.2454727714689,0.38788545,,,,18,12,[M+H]+,,3,76;79;57,484.23814,135217.6,30731.21,9357.995,0,0,0,0,0,0,0,0,0,0,0,0,3781.4753,0,0,0,0,0,0,0,0,17603.623,43063.25,42248.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22522.57,10554.734,0,0,0,0,0,0,0,0,
152,582.6578710374542,0.38823393,,,,24,15,[2M+H]+,,2,152;256,290.82443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.43184,0,0,0,0,0,0,0,0,0,9576.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
74,187.10777640851705,0.38945627,,,,18,,,,,,,14920.134,3445.1597,1356.8119,0,0,0,0,0,0,0,0,0,0,0,0,459.10565,0,0,0,0,0,0,0,0,1913.4978,5040.2886,4535.826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2125.2615,1618.8452,0,0,0,0,0,0,0,0,
101,170.9141092731786,0.38970828,,,,24,11,[M+K]+,,2,101;241,131.9511,875.4199,1260.8461,1444.11,693.3741,963.35474,716.49884,277.73883,1020.8942,1408.4216,1429.1744,1282.9775,1215.4916,897.48895,959.3316,528.3711,1054.3743,806.31494,903.4651,645.23956,1228.538,546.36096,897.1287,1376.696,957.7329,919.25464,819.5039,1370.9769,0,1610.2916,154.40942,1919.0896,755.0999,729.92523,538.7228,1022.27637,693.91846,581.477,89957.81,1720.8726,946.5942,468.2185,345.84784,1488.6947,855.9695,966.8001,2009.7081,285.98163,789.5692,2121.9854,785.34033,961.1776,754.2813,1130.8461,801.11633,1626.9144,919.434,
75,366.1871795405164,0.3897544,,,,18,,,,,,,11212.743,2633.57,968.68475,0,0,0,0,0,0,0,0,0,0,0,0,225.83055,0,0,0,0,0,0,0,0,1467.8192,3975.1228,3765.2058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1839.0781,1173.541,0,0,0,0,0,0,0,0,
80,163.10778513479454,0.3910796,,,,18,,,,,,,163027.42,52993.934,15298.939,0,0,0,0,0,0,0,0,0,0,0,0,6138.8257,0,0,0,0,0,0,0,0,29527.615,66784.85,67592.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25683.932,20410.266,0,0,0,0,0,37.05224,0,0,
99,159.9691086707177,0.39224213,,,,24,,,,,,,1420.5248,949.89404,713.33453,1354.3037,1072.6895,1207.1962,950.88165,1209.92,2171.74,2172.7102,621.98456,2263.118,1507.8379,1093.7426,1114.2709,864.6456,1592.3099,643.9553,1790.0541,207.7775,1750.272,952.75494,1042.5138,2062.7441,733.50824,851.1169,896.98334,10228.195,1426.9226,1142.6403,875.9427,2102.5386,382.31555,1384.9945,988.1017,1034.9207,2102.4329,42163.41,1071.5305,914.3338,948.2257,2328.569,930.27014,1336.9908,1357.7236,2052.9116,1269.6011,762.00525,1086.0344,2946.276,2637.8823,3588.2146,1776.1016,1228.8556,1249.6118,1738.3019,
